,title
0,"기재차관 ""코로나19로 2월 경제지표 변동성 확대"""
1,"홍남기 ""코로나19, 경제 비상시국…'총 20조원+알파' 경기부양 추진"""
2,코로나19에 중국 경제 최악의 위축…2월 구매지수 '역대 최저'
3,"[코로나19 대유행 고비, 경제 비상] 1. 신천지 發, 전국 확산 막아라"
4,"파월 의장, 증시 무너지자 ""경제 뒷받침 수단 사용"""
5,자동차·전자·유통 다 멈췄다…한국 경제 '시계 제로'
6,"‘코로나19’로 충북경제 피해 규모 1,000억원 달해"
7,"[코로나19 대유행 고비, 경제 비상] 3. 정부, 경제 대책 내놨지만"
8,송은이 1000만원 기부 “경제적 타격 입은 대구·경북 자영업자 생계비”
9,난민에 유럽문 열어주는 터키…경제·군사 지원 노린 포석
10,'코로나19 직격탄' 충북 경제 피해 규모 1천억원
11,"여야 대표 만난 문 대통령 ""코로나19 사태, 경제가 걱정"""
12,[코로나 경제대책] 어린이집 휴원 탓에 휴가 내면 최대 50만원 지원
13,"파월 의장, 증시 무너지자 ""경제 뒷받침 수단 사용"""
14,"IMF ""코로나19, 경제 영향 분명...성장률 하향 조정할 수도"""
15,자동차·전자·유통 다 멈췄다…한국 경제 '시계 제로'
16,"'코로나19 비상시국' 정부, '20조+α' 투입해 민생·경제 심폐소생"
17,"‘코로나19’로 충북경제 피해 규모 1,000억원 달해"
18,"기재차관 ""코로나19로 2월 경제지표 변동성 확대"""
19,코로나19 경제대책은?
20,"[속보] 한은, 올해 경제성장률 전망 2.3%→2.1% 낮췄다"
21,"한은 ""올해 경제성장률 전망치 2.3%→2.1% 하향조정"""
22,[현장영상] '마스크 판매 혼란'에...홍남기 경제부총리 긴급 브리핑
23,"""한국 경제 최악 시나리오는 코로나19로 삼성전자 생산 차질"""
24,"""코로나19 피해 막자"" 충남도, 사회적경제기업 지원 강화"
25,"정부, 민생경제 위해 각종 세제 혜택 등 16조원 푼다"
26,"정부, '코로나19 경제대책은?'"
27,인도 작년 4분기 경제 성장률 4.7%…6년 만에 최저
28,"[일문일답]이주열 한은 총재 ""韓경제, 1분기 마이너스 성장 가능성"""
29,[코로나 경제대책] 상반기에 기업·공공·민자 35조원 투자
30,공정위 비상임위원에 최윤정 연대 경제학부 교수 선임
31,[친절한 경제] 쥐꼬리 수입에 '한숨'…장려금 드립니다
32,"정부, 과감한 세제·금융혜택으로 ‘경제회복’ 전력투구"
33,"침체된 지역경제, '장성사랑상품권'으로 살린다"
34,"도병수 천안시장 예비후보 ""코로나19 지역경제 안정 대책"" 촉구"
35,코로나19 경제대책 발표하는 홍남기 부총리
36,"정부도 숫자 보고 놀랐다···기본이 반토막, 코로나 경제쇼크"
37,"[취재파일] 코로나19 대유행 고비, 경제 비상"
38,코로나19 확진자 급증에 천안 지역경제 직격탄…곳곳에서 한숨
39,'코로나19 확산' 대구 경제 위기
40,"[생생경제] 금리인하? ""거의 효과 없어... 오히려 부동산 버블 낳아"""
41,"시장에서 냉대받은 '경제 특단 대책'…""효과 적고 재정만 축날수도"""
42,한은 기준금리 연 1.25% 동결…경제성장률 2.1%로 하향 조정
43,`코로나19 충격' 中 경제활동 이번 주 60~70% 회복 전망
44,[코로나 경제대책] 1∼6월에 깎아준 임대료 절반 세액공제로 돌려준다(종합)
45,"정부, '코로나 추경' 20조원+α 풀어 경제비상시국 돌파한다"
46,자치구-주민 한마음으로 뭉쳤다…방역·경제 두토끼 잡기
47,세계경제 '코로나 쇼크'…美·유럽증시 금융위기 이후 최대낙폭
48,"월드옥타, 8월·10월 中옌지·두바이서 경제인대회 개최"
49,[코로나 경제대책] 피해 소상공인·중기에 8.5조 추가 금융지원(종합)
50,"삼척시, 위축된 지역경제 살리기 ‘올인’"
51,"코로나19, 2020년 최대 경제위협 요인"
52,코로나 사실상 '팬데믹' 세계경제 금융위기 이후 최대 위기
53,[울산소식]조원경 경제부시장 공영차고지 방역활동 등
54,세계 경제가 이탈리아 감염에 긴장하는 이유는?
55,홍남기 부총리 '민생·경제 종합대책 발표'
56,"이념지향 노동 권력, 한국 경제를 망친다"
57,[아빠가 들려주는 경제·금융]②튤립거품&눈물
58,"EU, 코로나19 경제적 영향에 대비…""관광업엔 이미 타격"""
59,"완도군, 세계 경제 주도할 21세기 장보고 대사를 찾는다"
60,'임대료 인하·위약금 최소화'…제주경제 상생으로 위기돌파
61,'대응불만' 코로나TF에 '상왕' 앉힌 트럼프…경제수장들도 합류(종합)
62,'얼어붙는 대구 경제' 로또에 희망을...
63,[뒷북경제]소상공인 임대료 지원...따뜻한 상생? 건물주 압박?
64,“대구 ‘코로나19’ 봉사 의료진 853명…경제적 보상 이뤄질 것”
65,"[코로나 경제대책] 영세 개인사업자 90만명, 부가세 年20만∼80만원 인하"
66,코로나19 대응 경제관계장관회의
67,"코로나19 비상 속 업무 보고…文 ""핵심은 경제 활력"""
