,title
0,"박은상 위메프 대표, 건강상 문제로 휴직"
1,"박은상 위메프 대표이사, 건강상 문제로 '휴직' 결정"
2,건강보험료 면제 가능한 해외체류 기간은 '3개월 이상'
3,"오렌지라이프, ‘와이드GI건강종신보험’ 출시"
4,"[오늘의 건강] 병원성대장균 식중독의 76%, 급식소서 발생"
5,"NH농협은행, 국민건강보험공단 협약 대출 'NH메디칼론' 출시"
6,"카카오 뉴스 댓글 순서 임의로 나열한다…""건강한 공론장 활성화"""
7,"[속보]""국민건강영양조사 잔여혈청 이용해 코로나19 항체가 조사"""
8,"크롬, 비타민 B 등 9종 건강기능식품, 바뀌는 뒷면 내용은?"
9,건강보험공단 출범 20주년 기념식 개최
10,"대상 정원e샵, ‘건강한 여름나기 경품기획전'"
11,'집콕도 건강하게'
12,장성군 ‘산모·신생아 건강관리’ 지원 대상 확대
13,"GC녹십자웰빙, 'GCWB106' 관절건강 개선 효과 확인"
14,"환경부-국토부, 주거취약계층 건강보호 손잡아"
15,"천랩, 마이크로바이옴 기반 헬스케어 서비스 ""건강관리 새로운 패러다임"""
16,"찬 음식, 장 건강엔?…과민대장증후군 유발 가능성 커져"
17,내 건강! 뇌 건강! 치매극복 온라인 걷기 추진
18,"국민건강보험 일산병원 신경과 이준홍 교수, 대한치매학회 회장 선출"
19,"LG생활건강, 네이처컬렉션·더페이스샵 가맹점 '상생몰' 선봬"
20,건강한 간편식 먹고 한돈 농가 돕고…세븐일레븐
21,설진으로 확인하는 전신 건강법은?(나는 몸신이다)
22,"코로나19 사회적 거리두기 이후, 스마트폰에 빠지고 정신건강 나빠져"
23,"유상철 감독, 인천 감독 복귀 무산…""건강이 우선"""
24,'할머니 오래 오래 건강하세요'
25,몸에 착용하는 AI 기기로 우울증·치매 등 노인 정신건강 돌본다
26,"울산 북구의회, '취약노동자 건강지원 조례' 제정"
27,"전주시, 취약계층 반려견 건강검진·중성화수술 비용 지원"
28,"롯데건설, 민간임대주택서 건강증진·이사 서비스 제공"
29,"진천군, 도트 유튜브 동영상 보급으로 청소년 건강 돌본다"
30,"유상철 감독 복귀 무산…""건강상 아직은 무리"""
31,"강릉시, 산모·신생아 건강관리 대상 확대"
32,척수장애인 건강검진 두려워 ‘끙끙’
33,"정선군, 건강지킴이 모바일 걷기 앱 ‘워크온’ 운영"
34,유상철 감독 인천 사령탑 컴백? 문제는 '건강'
35,"중구, 드림스타트 아동들의 건강한 성장 돕는다!"
36,광주시 복지건강국장에 박향·건강정책과장 임진석
37,[ER 포토] 건강한 집콕생활을 위한 '워라벨 페어'
38,영양 만점 식사로 건강한 여름 나기
39,"""건강이 우선""... 인천, 유상철 감독 복귀 거절"
40,[새얼굴] 서명철 국민건강보험공단 인천경기지역본부장
41,7월부터 장애인보청기 건강보험 급여제도 개선
42,“올바른 틀니 관리로 노년건강 챙기세요”
43,영유아건강검진 유무로 아동학대 확인 추진
44,수영구 정신건강복지센터-베러먼데이 맞손
45,'맛있게 드시고 늘 건강하세요'
46,"롯데건설, 민간임대주택 ‘건강증진·이사 서비스’ MOU 체결"
47,"보은군, 통합건강증진사업 '최우수'"
48,악플 줄이고 건강한 토론문화 만든다…진화하는 포털 댓글 정책
49,전자담배 판촉 행위 대폭 축소된다… 국민건강증진법 개정안 국무회의 의결
50,복날 챙겨 먹는 삼계탕은 옛말…간편·건강 한 끼
51,"GC녹십자웰빙 ""구절초 추출물, 관절 건강 개선에 도움"""
52,"복지부, 취약계층 아동의 건강한 성장을 돕는 공공 슈퍼비전 첫 제도화"
53,"논산시, 맞춤형 모바일 건강관리서비스 시작"
54,[건강+] 예방 가능한 유일한 암 '자궁경부암'
55,"햄버거병 둘러싼 오해와 진실…KMI, 건강정보 공유"
56,"LG생활건강, 온라인몰 매출 가맹점으로… 상생 강화"
57,한국건강관리협회 충북·세종지부 본부장에 주윤중씨
58,[취재파일] 되짚어본 '김정은 건강 이상설'…순천인비료공장 준공식 미스터리
59,"유상철 감독, 인천 사령탑 복귀 불발...""건강이 우선"""
60,청양 농특산물 다양한 판매전 통해 건강한 먹거리를 제공
61,응급용 진단시약 10종 추가 검토…건강보험수가 협의 중
62,'보건의료 지식정보 한곳에' 건강보험심사평가원 리포지터리 오픈
63,폭염 대비 건강수칙 3가지
64,폐암으로 30분마다 목숨을 잃는데…‘면역항암제’ 건강보험 적용 기다리다 죽을 판
65,"의협 ""한약 건강보험 적용 결사반대""(종합)"
66,주북 러시아대사 “김정은 건강이상설 근거없는 소문”
67,[간호사칼럼] 슬기로운 코로나19 건강 유지법
68,"LG생활건강 해태htb, '아티제' 리치블랙커피·얼그레이 티라떼 출시"
69,코로나 예방? 건강 이상? 김정은 공개활동 확 줄어
70,"영월군 로컬푸드 교육…""농가소득 증대·건강한 먹거리 제공"""
71,장마철에 생각나는 막걸리 속 의외의 건강 효능은?
72,해양치유의 메카로 떠오른 충남 태안 국민 건강·지역경제 지킴이
73,"아산시, 다자녀 맘 건강관리 나선다"
74,"CJ올리브영, 건강한 피부관리 돕는 '클린뷰티' 앞장"
75,"안국건강, 다이어트 건기식 '인생뷰티 시네트롤 리얼버닝' 출시"
76,"유상철 감독, 인천 사령탑 복귀 불발...""건강이 우선"""
77,국민건강보험 일산병원 '급성기 뇌졸중 적정성 평가' 7연속 1등급 획득
78,"강원랜드, 지역 내 아이들의 건강한 성장위해 위생용품 지원"
79,"서울시-국민건강보험공단, 협업통해 돌봄위기가구 지원"
80,"하동군,지역아동센터 건강주치의제 사업 추진"
81,원주시 '산모·신생아 건강관리' 확대 지원
