,title
0,"ABL생명, 건강 따라 보험료 차등 종신보험 출시…""업계 첫시도"""
1,"“코로나19 임상 참여할래요” 건강한 사람들, 치료제 위해 모인다"
2,"""코로나 정신건강 적신호"" 1393 상담사 늘리고 우울증 검진 필요할 때 받게 한다"
3,용인시 건강 동화 ‘빅북’ 도서관 비치
4,"박성민 의원, 국민건강보험법 일부개정법률안 대표발의"
5,"매일 아몬드 한 줌, 초겨울 피부 건강에 도움"
6,"""안전하고 건강한 숲푸드 즐겨요"""
7,“건강하지 않다면 접종 고민을” 화이자 임상 참여자 조언
8,"'동상이몽2' 전진♥류이서, 건강 이상에 산부인과 방문→수술 진행"
9,건강에 도움이 되는 22가지 1분 투자 방법(1)
10,"[창녕] 건강하게 ""매일 등교하는 너를 칭찬해"""
11,"""안전하고 건강한 숲푸드 즐겨요"""
12,건강에 좋지만…적당히 먹어야 하는 음식 4
13,“건강하지 않다면 접종 고민을” 화이자 임상 참여자 조언
14,"일룸, 아이들의 건강한 성장을 위한 나눔 활동 지속"
15,"필립스, 평생 수면건강관리 지원 서비스 출시"
16,용인시 건강 동화 ‘빅북’ 도서관 비치
17,윤화섭 안산시장 “자유로운 이동권 보장으로 노년의 삶 건강하고 행복하게”
18,"박성민 의원, 국민건강보험법 일부개정법률안 대표발의"
19,"'동상이몽2' 전진♥류이서, 건강 이상에 산부인과 방문→수술 진행"
20,트와이스 모모 `건강미 넘쳐` [MK포토]
21,"최희, 출산전 68,3kg→출산후 8kg 감량 ""남은 9kg도 건강한 다이어트"""
22,"우리은행, 소외계층 아동 지원 'WOORI(우리)와 함께 건강하고 신나는 겨울' 실시"
23,"목포시, 의료기관 연계 재활건강교실 운영 '적극 지원'"
24,"학문 힘쓴 수험생, 항문 건강 챙겨야"
25,"임실보건의료원, 최첨단 디지털CT로 건강 '촘촘히'"
26,[황선숙의 건강한 아침] 눈이 침침…노안 왔다면?
27,겨울이 싫어?…추위가 건강에 좋은 의외의 이유 3
28,‘숲과 함께 만드는 푸르고 건강한 미래’ 위한 세계인의 지혜 모여
29,"동대문구, 투명하고 건강한 아파트 함께 만들어요"
30,SRT 수서역 고객건강라운지 ‘호평’
31,"'중증아토피', 건강보험 산정특례에 포함된다 "
32,"종근당 ‘벤포벨’, 수험생 건강관리 필수 아이템"
33,"서초구, 혼밥하기 좋은 식당 선정…마음코칭·건강검진 실시"
34,"WE 호텔 제주, 건강한 겨울나기 약선요리 한상 프로모션 선봬"
35,"한국건강관리협회, 희귀・난치성질환자를 위한 사랑나눔"
36,"김기춘, ‘사법농단’ 재판 증인 소환에 3번째 불응…건강상 이유"
37,"변협, 국민 건강권 '지킴이'로 나서"
38,"'골든일레븐' 신소율, 축구 국가대표 꿈꾸는 아이들 케어 코치 변신..건강+멘탈 책임"
39,실내 초미세먼지로부터 우리 가족 건강 지키는 LG 퓨리케어 360° 공기청정기
40,"""부산의료원 건강증진센터, 코로나19 대응에 활용해야"""
41,"바이든 다리 부상에 트럼프 ""빠른 건강회복 기원"""
42,건강 취약계층에 사랑의 김장 나눔
43,“건강한 세포 기증 위해 철저히 관리했죠”
44,"강남구, '면역력 키우는 건강달력' 제작"
45,[오! 삼광빌라!] “가서 건강하셔야 돼~” 삼광빌라를 떠나는 정보석... 또 헤어지는 전인화
46,"광주청소년상담복지센터, 건강한 또래·학교 문화 형성 앞장"
47,"강진군 드림스타트, 영양 가득 건강한 요리교실"
48,"경산시, 시민 건강 챙기기에 적극 나서"
49,"전북 농기원, ‘비타민 D2 보충용 건강기능성 식품’ 특허등록…실용화 추진"
50,"모노랩스, 필즈-독수리약국과 건강기능식품 구독시대 연다"
51,[날씨와 건강] 겨울철 메마른 피부 관리법
52,"전남도, 한의약 건강증진사업 평가 '전 분야' 성과"
53,"이종성, '장애인 건강권 보장 및 의료접근성 강화' 토론회 개최"
54,"'개뼈다귀' 김구라x박명수, ‘50세 마음' 건강은?"
55,"광진구, 담배연기 없는 건강한 통학로 조성 '박차'"
56,"김희재, 반려견과 함께한 셀카 공개 ""희랑도 건강조심"""
57,"경기도사이버도서관, 신규 전자책 620종 구입…""비대면 시대 건강한 독서활동 지원"""
58,코로나 시대 수능의 관건은 건강 ‘완전식품’ 우유로 면역력과 체력을 한 번에!
59,"[날씨와 건강] 코로나19 주말, 바깥활동-꿀잠 필요한 까닭"
60,[스마트 리빙] 건강 검진 시 용종(폴립) 제거하면 보험료 청구하세요
61,"정몽구 현대차그룹 명예회장 4개월만에 퇴원…""건강한 상태"""
62,"괴산군, 북한이탈주민 무료 건강검진"
63,"한국건협 대전충남지부, 내달 6일 일요일 건강검진"
64,"정몽구 현대차 명예회장 4개월만에 퇴원...""매우 건강한 상태"""
65,"건강관리협, 반찬배달봉사"
66,"“건강 관심↑”…롯데백화점, 구스 침구류 올해 20% 신장"
67,당진시 궁리보건진료소 건강증진사업 최우수기관 선정
68,상주시청 민원실에 '무인 정신건강검진기' 설치
69,"한국노바티스, '만성두드러기 6하원칙 캠페인'…온라인 건강강좌 개최"
70,"부천시, 건강한 미디어 활용능력 향상 "
71,'코로나19' 영향?…북한 영화도 '보건·건강'에 주목한다
72,"부산시, 미세먼지 고농도 계절관리제 시행…시민건강 보호"
73,건강만세365병원 최신형 MRI 장비 2호기 추가 도입
74,"구미시어린이급식관리지원센터, 어린이 건강 식생활 향상에 기여"
75,공기정화 듀얼젠 마스크로 국민건강 지킨다!
76,창원교육지원청-경남건강가정지원센터 업무협약
77,"상주시, 민원실에 무인 정신건강검진기 설치"
78,"30일 부산 ""춥고 건조한 날씨""…건강 관리 유의"
79,"당진시 궁리보건진료소, 건강증진사업 최우수기관 선정"
80,코로나블루에 국민 정신건강 빨간불..정부 '자살 예방' 팔 걷었다
81,"충주시 주덕읍지역사회보장협의체, 집수리봉사로 홀몸노인 건강 챙겨"
82,완주군 2주간 20만보 달성하면 건강운동꾸러미 제공
83,"[종합] ""겨울철 실내 적정온도 20℃ 지키기로 에너지절약·건강 챙기세요"""
84,코로나 극복 '건강한 가족 만들기' 호응
85,건강보험 특별사법경찰관
86,119구급대원 마음건강 향상 프로그램 운영
87,"[날씨] 충북 내일 최저 -7도, 최고 8도…건강 관리 유의"
88,[건강365]막히거나 터지거나…뇌졸중은 시간과의 싸움!
89,"중랑소방서, 직원 정신건강 증진 비대면 교육"
90,[CEO건강학 136] 남편은 필요 없지만 아이는 필요하다
91,"'마스크 기부천사' 김인종 YJ 코퍼레이션 대표 ""100억보다 국민건강이 더 간절했어요"""
92,"소비자 대상 직접 유전자검사 70항목으로 확대, 비의료 건강관리서비스 접근성 향상 기대"
93,건강 지키려다 집단 감염…실내시설 이용 주의보
94,"""예술 행위"" vs ""건강 위협"" 문신 합법화 진통"
95,"‘최악 시즌’ 안치홍, +2년 31억 옵션 따려면 ‘건강’이 최우선"
96,충청권 흡연·음주율 충북 최고…건강 실천율은 떨어져
97,"건강보험공단 대전충청본부, 제증명서 발급 '비대면으로' 영상 안내"
98,"강남구, ‘면역력 키우는 건강달력’ 제작"
