,title
0,"감염학회 “지금부터 2주 고비… '사회적 접촉' 최소화해야"""
1,"허태정 대전시장 ""지역사회 확산 방지 전방위적 노력"""
2,"음성군, 사회복지시설에 마스크 3만장 긴급지원"
3,“반드시 사회적 거리두기…마스크는 당번 약국에서”
4,"'사회엔 기부·팀엔 승리' 이재영 ""팬 앞에서 경기하고 싶어요"""
5,"범학계 코로나19 대책위 ""2주가 중요, 사회적 접촉 줄여야"""
6,"벤츠사회공헌위원회, 코로나19 극복에 10억원 기부"
7,"광주광역시, 사회복지시설에 마스크 2만 개 지원"
8,“사회복지사 없나요”…코로나19 확진 복지사들이 확진 장애인들 돌봐
9,한국거래소 코로나19 극복 지원 사회공헌활동 확대
10,"허태정 대전시장 ""지역사회 확산 방지 전방위적 노력"""
11,"천주교 안동교구장 ""지역사회에 아픔 드리고 염려 끼쳐 죄송"""
12,한국거래소 코로나19 극복 지원 사회공헌활동 확대
13,[사바나] ‘스펙사회’ 민낯 청년 영입 정치 쇼
14,"전남서 세 번째 확진자 발생··김영록 지사, 지역사회 확산 차단 강력 지시"
15,"""코로나19 피해 막자"" 충남도, 사회적경제기업 지원 강화"
16,"음성군, 사회복지시설에 마스크 3만장 긴급지원"
17,온 국민 ‘사회적 거리두기’… 코로나 고비 넘자
18,코로나19와 사투 의료진에 지역 사회 온정 이어져
19,"강경화 ""미국과 코로나19 조치 소통…국제사회, 한국 능력 믿어"""
20,"여의도순복음교회 ""예배중단 더 연장할수도…사회적책임 다하겠다"""
21,"[인터뷰] ""사회적 접촉 최소화 위해 모든 방법 동원해야"""
22,"에이스손해보험, 대구 사회복지공동모금회에 1000만원 전달"
23,"[법과사회] ""예배니까 괜찮다""는 전광훈 집회, 해산 가능할까"
24,원주 코로나19 확진자 발생...지역사회 감염 확산 우려
25,"법원, 전광훈·범투본 집회 불허...“사회통념상 참을 수 있는 불편 넘는 위험”"
26,"저축은행, '지속가능경영' 위한 사회적 책임 이행 확대"
27,미국도 코로나19 지역사회 전파 우려…원/달러 환율 하락세
28,"시민사회 인사, '정치개혁연합 창당' 제안"
29,"경남도, 코로나19 사태로 어려운 사회적기업 지원한다"
30,주말 외출 NO 집회 NO ‘사회적 거리두기’ 동참하세요 [코로나 이겨내자]
31,"정부, 이란도 교민 철수 준비…국제사회 제재로 고립 우려"
32,"박동빈♥이상이, 동료에서 부부로…안재모 사회·노라조 축가"
33,"[단독] 신천지, 사회 각 분야 인사 조직적 관리 정황 드러나"
34,"삼성, 코로나 대응에 300억원 긴급지원…이재용 ""사회와 나눠야"""
35,"""이번 주 고비… 사회적 거리두기 해달라"""
36,예고 없는 '전국 휴교'...일본 사회 '대혼란'
37,"충남대 법률센터, 사회공헌백서 발간"
38,"SM, 코로나19 재해에 5억 원 기부...꾸준한 사회 공헌의 일환"
39,"한남대,인문사회 기반 교원기업 설립 본격화"
40,순천서 코로나19 감염 우려로 지역사회 '긴장'
41,"경남도, 코로나19로 힘든 사회적기업 돕는다"
42,보이지 않는 감각으로 사회문제를 바라보다
43,"[코로나19] 지역사회 전파 본격화…시중은행, 금융지원 총력"
44,"박동빈♥이상이 오늘 결혼, 사회는 안재모 ""축복과 응원 부탁"""
45,"美 지역사회 전파 대비 착수...""학교 휴교도 검토"""
46,이스라엘 성지순례단 2·3차 감염 15명…지역사회 확산하나
47,"미스터트롯 사회자 김성주, 코로나19 확산 방지 위해 기부 동참"
48,"순천대 사회과학대학부속고시원, 각종 국가시험 결실"
49,코로나19 감염 KAL승무원 때문에 LA한인사회 '이중고'
50,美서 감염 경로 불분명 환자 발생…“지역 사회 전파 가능성”
51,"주택금융공사, 창립16주년 ""사회적 가치 실현하는 선도기관으로 거듭날 것"" "
52,"‘전두환 추징법’ 합헌…“철저 환수, 공직사회 부정부패 근원 제거”"
53,"한국콜마, 코로나19 극복위해 지역사회 지원 나서"
54,"송소희, 사회인이 된 국악 소녀 ""얼마 전 대학 졸업...책임감 생겨"""
55,일본 사회 코로나19 확산 우려…아베 “필요대책 주저 않고 시행”
56,"시민사회 ""미래한국당, '선거연합당'으로 무력화하자"""
57,"안재모, 박동빈-이상이 결혼식 사회 맡았습니다 [MK포토]"
58,[토요단상] 종교의 사회적 역할
59,"이만희, 어디 숨었나? 정치권·시민사회 고소·고발 '전방위' 추적"
60,전남 동부권 하룻새 코로나19 2명 확진…지역사회 감염 '우려'
61,"제주 시민사회, '항일투쟁 4인' 독립운동가 서훈 추천"
62,‘가모장제’로 바뀐 사회서 남녀의 삶 [책과 삶]
63,강다니엘 측 “코로나19 확산 방지 위해 5000만원 기부”…사회적 귀감(공식)
64,경기도 코로나19 피해 사회적기업 지원책 마련
65,"美 캘리포니아 '지역사회 감염' 여부 촉각…""전역에 경계령 확대해야"""
66,"코로나19 확진자 41.7% 감염원 '불분명'…방역당국 ""사회적 거리두기 필요"""
67,"[기고]코로나19 위기, 우리 사회 ‘신뢰 담금질’ 기회로"
68,[책의 향기]늙고 병든 몸도 존중받는 사회
69,"익산시, 코로나19 지역사회 유입 차단 행정력 집중"
70,국민연금 '10%룰' 족쇄 푼다···'연금사회주의' 우려 고조
71,"[사회공헌] 태영그룹, 코로나19 피해 복구에 5억 전달"
72,[미국사회 속살]한국어 조기교육 시키는 미국엄마들
73,"의협, 코로나19 예방 '사회적 거리두기' 제안…재택근무·외출 최소화 등 권고"
74,"[사회공헌] 반도건설, 코로나19 극복 위해 성금 2억 기탁"
75,"생명보험사회공헌위원회, 장학생 선발해 1억500만원 지급"
76,영광군 코로나19 대응 긴급 기관·사회단체 회의 개최
77,고열 · 기침 허위진단서로 사회봉사명령 피하려 한 40대 적발
78,"유통업계 '코로나19' 피해 복구 지원…""사회적 노력에 동참"""
79,우린 과연 지역사회 감염병 대응 준비 돼 있나?
80,"정부, 사회복지시설 휴관 권고...다음달 8일까지"
81,"캠코, '포용적 사회공헌' 목표로 올해 공헌활동 시작"
82,"연결고리 없는 전파경로 최대 관심사…당국 ""사회적격리 강화""(상보)"
83,"경산시, 감염위험 사회복지시설 모니터링 강화"
84,"의협, ""일주일간 사회적 거리두기"" 대국민 긴급 권고"
85,청양 사회적 경제 상징체계 만든다
86,"순천대 사회과학대학부속고시원, 각종 국가시험에 큰 성과"
87,"삼성, 코로나19 사태에 300억 원 지원…이재용 ""사회와 나눌 때"""
88,"[아유경제_사회] 삼성, '시민단체 후원 내역 무단열람' 공식 사과"
89,[강릉]강릉 옥천 지역사회보장협 방역 실시
90,[박진영의 사회심리학] 가짜뉴스를 걸러내는 방법
91,"세기P&C, 지역사회 복지시설관 마스크 기부 '나눔 실천'"
92,"노승명 김포을 예비후보 ""사회문제해결 적임자 이회수 지지"""
93,화성 GS테크윈 코로나19 지역사회 감염 진앙지 되나…3차 감염자 속출
94,"광주의료진·시민사회 “대구·경북, 난관 함께 극복하자”"
95,은평구 ‘지역사회 참여형 마을안전망 ’ 구축 코로나 가짜뉴스 대응
96,"[코로나19] ""3월 초 매우 중요한 시점, '사회적 거리두기' 절실"""
97,"[사회공헌] 라이나생명, 코로나19 구호 현장에 의료용품 기부"
98,"서천, 2019 충남사회지표보고서 공개"
99,"[사회공헌] 일동제약그룹 '송파재단', 지난해 장학금 2억1340만원 지원"
100,"한국거래소, 코로나19 극복 위해 사회공헌활동 확대"
101,코로나19 감염 KAL승무원 때문에 LA한인사회 '이중고'
102,美서 감염 경로 불분명 환자 발생…“지역 사회 전파 가능성”
103,"주택금융공사, 창립16주년 ""사회적 가치 실현하는 선도기관으로 거듭날 것"" "
104,"음성군, 사회복지시설...마스크 3만 장 긴급 지원"
105,"‘전두환 추징법’ 합헌…“철저 환수, 공직사회 부정부패 근원 제거”"
106,"한국콜마, 코로나19 극복위해 지역사회 지원 나서"
107,"송소희, 사회인이 된 국악 소녀 ""얼마 전 대학 졸업...책임감 생겨"""
108,일본 사회 코로나19 확산 우려…아베 “필요대책 주저 않고 시행”
109,"시민사회 ""미래한국당, '선거연합당'으로 무력화하자"""
110,일본 사회 코로나19 확산 우려…아베 “필요대책 주저 않고 시행”
111,"시민사회 ""미래한국당, '선거연합당'으로 무력화하자"""
112,"안재모, 박동빈-이상이 결혼식 사회 맡았습니다 [MK포토]"
113,[토요단상] 종교의 사회적 역할
114,"충남도, ‘코로나19’ 대응 사회적경제기업 지원 강화"
115,"감염 전문가들, 정부와 국민에 '사회적 접촉' 최소화 당부"
116,"한국거래소, 코로나19 극복 사회공헌활동 강화"
117,"[코로나19] '착한기업' 한국콜마, 어려운 지역사회 적극 지원"
118,"이만희, 어디 숨었나? 정치권·시민사회 고소·고발 '전방위' 추적"
119,전남 동부권 하룻새 코로나19 2명 확진…지역사회 감염 '우려'
120,"한남대, 인문사회 기반 교원기업 설립 본격화"
121,"제주 시민사회, '항일투쟁 4인' 독립운동가 서훈 추천"
122,"안재모, 박동빈-이상이 결혼 사회 중 깜짝 축가 [MK포토]"
123,‘가모장제’로 바뀐 사회서 남녀의 삶 [책과 삶]
124,"메르세데스-벤츠 사회공헌위원회, 코로나19 취약계층 지원 위해 10억원 이상 기부"
125,강다니엘 측 “코로나19 확산 방지 위해 5000만원 기부”…사회적 귀감(공식)
126,"광주시, 사회복지시설에 마스크 2만개 지원"
127,경기도 코로나19 피해 사회적기업 지원책 마련
128,"美 캘리포니아 '지역사회 감염' 여부 촉각…""전역에 경계령 확대해야"""
129,"코로나19 확진자 41.7% 감염원 '불분명'…방역당국 ""사회적 거리두기 필요"""
130,"코로나19 확진자 41.7% 감염원 '불분명'…방역당국 ""사회적 거리두기 필요"""
131,"[코로나19] 감염학회, ""지금부터 2주가 중요…'사회적 접촉' 최소화 필요"""
132,"한국거래소, 코로나19 극복을 위한 사회공헌활동 확대"
133,"[기고]코로나19 위기, 우리 사회 ‘신뢰 담금질’ 기회로"
134,"삼성, '코로나19' 극복에 300억 지원…이재용 ""사회와 함께"""
135,[책의 향기]늙고 병든 몸도 존중받는 사회
136,"""코로나로 힘드시죠"" 경남도, 사회적기업 지원대책 마련"
137,"한남대, 인문사회 기반 교원기업 설립 본격화"
138,"김영록 전남도지사, 순천·여수 재난안전대책본부 방문~지역사회 확산 차단 강력 지시"
139,"익산시, 코로나19 지역사회 유입 차단 행정력 집중"
140,"익산시, 코로나19 지역사회 유입 차단 행정력 집중"
141,국민연금 '10%룰' 족쇄 푼다···'연금사회주의' 우려 고조
142,"시민사회 원로들 “미래한국당 저지, 정치개혁 완수 위한 선거연합 정당 제안”"
143,"주택금융공사,“사회적 가치 실현하는 선도기관으로 거듭날 것”"
144,"'주스 아저씨' 박동빈♥이상이, 오늘(29일) 결혼···사회 안재모·축가 노라조"
145,"[사회공헌] 태영그룹, 코로나19 피해 복구에 5억 전달"
146,[미국사회 속살]한국어 조기교육 시키는 미국엄마들
147,"의협, 코로나19 예방 '사회적 거리두기' 제안…재택근무·외출 최소화 등 권고"
148,"한국거래소, 코로나19 극복 위한 사회공헌활동 동참"
149,"코로나19 대책위 ""2주가 중요…'사회적 접촉' 최소화"" 당부"
150,"경기도, 사회적기업 인건비 지원 선지급 허용키로"
151,"[사회공헌] 반도건설, 코로나19 극복 위해 성금 2억 기탁"
152,"시민사회 원로들, 연합정당 제안"
153,"한국거래소, 코로나19 취약계층 위한 사회공헌활동 확대"
154,"강경화 ""국제사회, 한국 방역 역량 신뢰"""
155,"[코로나19 '극복'] 이재용 ""마땅히 사회와 함께 나눠야""…삼성 '300억 원' 지원"
156,"생명보험사회공헌위원회, 장학생 선발해 1억500만원 지급"
157,"한남대, '인문사회 기반 교원기업 설립' 본격화"
158,영광군 코로나19 대응 긴급 기관·사회단체 회의 개최
159,"메르세데스-벤츠 사회공헌위원회, 코로나19 취약계층 지원 위해 10억원 이상 기부"
160,"벤츠 사회공헌위원회, 코로나19 위기 극복에 동참... 10억원 이상 기부"
161,"광주광역시, 사회복지시설에 마스크 2만개 지원"
162,고열 · 기침 허위진단서로 사회봉사명령 피하려 한 40대 적발
163,"유통업계 '코로나19' 피해 복구 지원…""사회적 노력에 동참"""
164,우린 과연 지역사회 감염병 대응 준비 돼 있나?
165,"정부, 사회복지시설 휴관 권고...다음달 8일까지"
166,"캠코, '포용적 사회공헌' 목표로 올해 공헌활동 시작"
167,"연결고리 없는 전파경로 최대 관심사…당국 ""사회적격리 강화""(상보)"
168,시민사회인사들의 '연합정당 제안'
169,"경산시, 감염위험 사회복지시설 모니터링 강화"
170,시민사회인사들의 '연합정당 제안'
171,"경산시, 감염위험 사회복지시설 모니터링 강화"
172,"의협, ""일주일간 사회적 거리두기"" 대국민 긴급 권고"
173,"질본 ""연결고리 없는 전파경로 최대 관심사…사회적 격리 강화"""
174,청양 사회적 경제 상징체계 만든다
175,"정부, 어린이집 이어 사회복지시설 휴관 권고…내달 8일까지(종합)"
176,"순천대 사회과학대학부속고시원, 각종 국가시험에 큰 성과"
177,"삼성, 코로나19 사태에 300억 원 지원…이재용 ""사회와 나눌 때"""
178,"강경화 ""국제사회, 한국 대응 능력 믿어…미국도 지켜볼 것"""
179,"[아유경제_사회] 삼성, '시민단체 후원 내역 무단열람' 공식 사과"
180,"[코로나19] 경남도, 사회적기업 지원대책 마련"
181,"벤츠 사회공헌위원회, 코로나19 확산 방지 위해 10억원 기부"
182,[강릉]강릉 옥천 지역사회보장협 방역 실시
183,[박진영의 사회심리학] 가짜뉴스를 걸러내는 방법
184,"한남대, 인문사회 기반 교원기업 설립 본격화"
185,"세기P&C, 지역사회 복지시설관 마스크 기부 '나눔 실천'"
186,"이정환 사장 ""포용적 주택금융으로 사회적 가치 실현"""
187,"경기도, '코로나19' 대응 사회적기업 지원책 마련"
188,"삼성 ""시민단체 기부내역 열람 사과""…시민사회 ""이재용 양형, 꼼수ㆍ위장사과"""
189,"노승명 김포을 예비후보 ""사회문제해결 적임자 이회수 지지"""
190,화성 GS테크윈 코로나19 지역사회 감염 진앙지 되나…3차 감염자 속출
191,"광주의료진·시민사회 “대구·경북, 난관 함께 극복하자”"
192,은평구 ‘지역사회 참여형 마을안전망 ’ 구축 코로나 가짜뉴스 대응
193,"[코로나19] ""3월 초 매우 중요한 시점, '사회적 거리두기' 절실"""
194,"한국콜마, 코로나19 극복 위해 지역사회에 손소독제 기부"
195,"[사회공헌] 라이나생명, 코로나19 구호 현장에 의료용품 기부"
196,"한국거래소, 코로나19 극복 사회공헌활동 확대"
197,"서천, 2019 충남사회지표보고서 공개"
198,"경남도, 코로나19로 어려움 겪는 사회적기업 지원대책 추진"
199,"벤츠 사회공헌위원회, 코로나19 극복에 10억 기부"
200,"[사회공헌] 일동제약그룹 '송파재단', 지난해 장학금 2억1340만원 지원"
201,"전국금융산업노조 대구은행지부, 대구사회복지공동모금회에 1억원 전달"
202,"주금공, 창립 16주년 맞아 ""사회적 가치 실현"""
203,"캠코, 2020년 포용적 사회공헌활동 시작"
204,"허지웅 일침 ""일부 교회, 지역사회 위험 빠뜨려"""
205,"벤츠 사회공헌위원회, 코로나19 취약계층 지원 위해 10억원 기부"
206,"경기도, '코로나 19 확산' 사회적기업 지원 대책 마련"
207,美 감염경로 불명 환자 또 발생…지역사회 감염 '공포'
208,"한국거래소, 코로나19 관련 사회공헌활동 확대"
209,"KB생명, 사회복지기관 종사자 자녀에게 장학금 전달"
210,"KB생명, 사회복지기관 종사자 자녀에게 장학금 전달"
211,"'코로나19 위기, 함께 극복' 광주지역사회 온정 잇따라"
212,이강래 예비후보 “농촌형 사회문화혁신타운 조성”
213,"순천대 사회과학대학부속고시원, 각종 국가시험서 결실"
214,병원 사회복지사 확진…부산 아시아드 요양병원 코호트 격리
215,한국거래소 코로나19 극복 지원 사회공헌활동 확대
216,"세기P&C, 지역사회 복지시설관에 마스크 기부"
217,"충남도, '코로나19' 대응 사회적경제기업 지원 강화"
218,"의정부시, 코로나19 지역사회 감염에 방역 및 소독 확대 실시"
219,"영광군, 사회복지공동모금회와 함께 '코로나19' 특별모금 전개"
220,"영광군, 사회복지공동모금회와 함께 '코로나19' 특별모금 전개"
221,"강경화 ""미국과 코로나 상황 공조중…국제사회 우리 믿는다 해"""
222,코로나19 확산방지 ’지역사회 방역활동‘ 실시
223,"도, 코로나19에 사회적기업 지원 대책 마련"
224,"한남대, 인문사회 기반 교원기업 ㈜더행복한아이연구소 설립"
225,"'결혼' 박동빈♥이상이, 가족·동료들 축복 속 부부됐다..사회 안재모·축가 노라조[종합]"
226,인권사회학의 도전 外 [새책]
227,"경기도, 코로나19 피해 사회적기업에 '인건비 선지급' 등 대책 마련"
228,"메르세데스벤츠 사회공헌위원회, 취약계층에 10억 원 기부"
229,"한국거래소, 코로나19 극복 위한 사회공헌활동 확대"
230,"주택금융공사, 창립 16주년 맞아 사회적 가치 실현 선도기관 다짐"
231,한국기술사회 신임회장에 주승호 한백에프엔씨 사장
232,코로나19 우려 한인사회 행사 줄줄이 취소
