"","title"
"0","코로나19 신규확진 127명…내일(1일) 사회적 거리두기 개편안 발표"
"1","최태원 회장 ""기업의 사회적 역할 새로 쓰겠다"""
"2","최태원 SK 회장 ""기업의 사회적 역할 새로 쓰겠다"""
"3","이재명 ""검찰개혁으로 법과 원칙 지켜지는 사회 만들어야"""
"4","손해보험 사회공헌協, 코로나 등 피해 대학생에 장학금 10억원"
"5","컴투스, 사회적경제기업 지원 캠페인 '핸드인핸드' 동참"
"6","최영애 인권위원장 ""박원순 의혹, 사회 앞으로 나가는 계기"""
"7","""수소사회의 첨병""...넥쏘수소차 올해 1만대 판매 돌파"
"8","급성기 환자 지역사회 연계, 건강보험 적용된다"
"9","가격 낮추고 충전소 늘려 '미래차 중심 사회' 만든다"
"10","손해보험 사회공헌協, 코로나 등 피해 대학생에 장학금 10억원"
"11","[토요워치] 매정한 사회가 낳은 '20만원짜리 아기'"
"12","최영애 인권위원장 ""박원순 의혹, 사회 앞으로 나가는 계기"""
"13","MBN '영업정지 6개월' 처분, 시민사회 규탄 ""면죄부"""
"14","""수소사회의 첨병""...넥쏘수소차 올해 1만대 판매 돌파"
"15","정부, '사회적 거리두기' 단계 개편방안 11월 1일 발표"
"16","급성기 환자 지역사회 연계, 건강보험 적용된다"
"17","'출범 1개월' 김포도시관리공사, 지역사회 공헌 팔걷었다"
"18","병무청장 ""스티브 유, 입국 후 경제활동 시 사회적 악영향"""
"19","컴투스, 사회적경제기업 지원 캠페인 '핸드인핸드' 동참"
"20","기아차, 사회복지단체에 레이 9대 기증"
"21","[동정]유은혜 사회부총리 겸 교육부 장관"
"22","이명박, 징역 17년 확정…만기출소 시 96세에 사회로(종합)"
"23","포스코건설, 지역사회 초등 돌봄 음악교실 운영"
"24","[시시비비] 코로나19 종식 이후의 사회적 가치"
"25","서산시, 충남 우수 사회적경제기업 벤치마킹"
"26","한국씨티은행, '한국사회적기업상' 공모"
"27","대웅제약, 지역사회와 세포·유전자 치료제 산업 육성"
"28","[에디터 프리즘] 고슴도치 사회"
"29","사회학자의 코로나 비망록"
"30","CJ대한통운, 성산동 매봉산 나무심기 사회공헌"
"31","울산 남구, 사회적기업 창업스쿨 운영"
"32","""이건희 사회기여 공로 크다"" 84.3%…과오 평가는 엇갈려"
"33","부산서 엿새만에 지역사회 감염 2명 발생…누적 587명"
"34","서초구, 지역사회 금연환경 조성 우수상 수상"
"35","수원시, 교정시설과 손잡고 '출소자 사회복귀' 돕는다"
"36","김태년 ""국민의힘 품격없는 태도, 사회 갈등 증폭"""
"37","최태원 “기업의 사회적 역할 새로 쓰겠다”"
"38","가수 임영웅의 선한 영향력 지역사회 넘어 세계로"
"39","태안군, 허베이 사회적협동조합 운영 정상화 위한 '긴급 간담회'"
"40","정부 ""사회적 거리두기 단계 근본 개편방안 이번 주말 발표"""
"41","썩는 비닐, 범죄자 찾는 CCTV…사회문제 해결 나선 과학기술"
"42","LH, '국경없는의사회'에 구호금 1천만원 기부…사회공헌 협약"
"43","인권위원장 ""박원순 사건, 우리 사회 앞으로 나아갈 계기"""
"44","충남 시민사회단체, ‘KBS충남총국’ 설립 추진위 구성"
