,title
0,[신년사]이낙연 국무총리 “경제에 새로운 활력 불어넣어야“
1,2020년 동남권 경제 키워드 '부동산'…10대 키워드는?
2,"황교안, 전통시장 방문 ""현장 오니 마음 아파…민생경제 살릴 것"""
3,"中시진핑, 신년사서 ""홍콩 번영·안정 기대”…경제 성과도 강조(종합)"
4,"홍남기 “2020년, 경제회복과 도약의 기회 살리겠다”"
5,특사 정치인 최소화하고 국민통합 방점…경제사범은 배제
6,"[신년사] 홍남기, ""새해 경제회복, 도약 모멘텀 기회 반드시 살릴 것"""
7,김현미 “주거 정책 ‘시장 경제 룰’에 맡겨선 안 돼”
8,"김현미 ""주거 정책, 시장 경제의 룰에 맡기면 안 돼"""
9,기업은행장에 윤종원 前 경제수석 유력…노조 또 '발끈'
10,文대통령 “볼썽사나운 국회…볼모로 잡은 민생·경제법안 놓아달라”
11,"北 이틀째 전원회의 ""자립경제 더욱 강화"""
12,[생생경제] '일자리 정부'의 2019 일자리 성적표 
13,"황교안, 전통시장 방문 ""현장 오니 마음 아파…민생경제 살릴 것"""
14,2019 한국경제 키워드 ‘0%·무역전쟁·떠남과 세대교체’
15,"[속보] 김정은, 2일차 전원회의서 “경제발전” “자립경제” 강조"
16,北김정은 “안전보장 위한 공세적 조치…자립경제 강화”
17,내년 재정-통화 '쌍끌이 부양정책'…한국경제 전망은?
18,"홍남기 경제부총리 ""전셋값 과열 징후땐 추가대책 마련"""
19,홍남기 “새해 경제가 따듯해지도록 노력하겠다”
20,"웅진코웨이 베팅 성공한 넷마블, 게임·렌털 '구독경제' 시험대로"
21,"2019년 英 휩쓴 정치·경제 위기, 2020년엔 獨에 불어닥치나"
22,울산 새 성장엔진 '경제자유구역·수소도시·융복합단지'
23,"시흥시 ""배곧지구 경제자유구역 예비지정, 신산업 육성 탄력"""
24,"北 김정은 '경제발전·무력건설' 보고…""장구한 투쟁 결심""(종합2보)"
25,"이주열 ""완화기조 유지…경제전망 정밀도 높이자"""
26,"이총리 “경제에 새로운 활력 불어넣어야"""
27,"데이터3법, 경제계 절박한 호소에도 연내 처리 끝내 불발"
28,"차기 기업은행장, 윤종원 前경제수석 급부상"
29,"조국 기소한 날… 윤석열 ""조국 수사, 자유민주주의·시장경제 지켜내는 과정"""
30,이주열 한은 총재 “생산성 향상 및 신산업 육성으로 경제성장동력 확충해야”
31,"오거돈 ""2020년 부산 경제 새롭게 도약하는 해로 만들겠다"""
32,국회 '압박' 나선 文대통령…檢개혁·민생경제 동력 확보 '박차'
33,"서울경제 60년, 100년의 등불을 밝힙니다."
34,"'머니게임' 고수-이성민-심은경, 韓경제 바라보는 '3인 3색' 관점"
35,"[신년사]캠코 ""경제선순환의 한 축 담당 공공기관으로 재도약"""
36,"김현미 ""주거는 인간 존엄과 직결…시장경제에 안 맡긴다"""
