,title
0,건강식품 설명회 다녀온 청주 70대 코로나19 확진
1,"개그우먼 김효진, 둘째 득녀 ""산모-아이 모두 건강"""
2,"방탄소년단, “옷깃 스친 모든 인연의 건강과 평안 기도” 추석 인사"
3,오랜만에 뵌 부모님께 '꼭' 물어봐야 할 건강 질문 4
4,1억명 시청하는 30일 첫 TV토론… ‘트럼프 탈세 vs 바이든 건강’ 격돌
5,코로나19 '집콕' 명절…슬기롭고 건강하게 보내려면
6,[추석엔 건강] ‘新 추석 증후군’ 조심하세요
7,"하루 한 잔 술은 건강에 좋다고요?…""아닙니다"""
8,"CJ제일제당, 취약계층 아동에 ‘장 건강검진’등 지원"
9,건강보험료 안내는 '고소득자' 5년간 75% 증가
10,[W건강생활백서] 재택 근무의 소리없는 불청객 '목디스크'
11,"""건강보험 정책 참여 늘려달라는 의협…3년간 회의 불참률 68%"""
12,"목욕탕, 건강용품 설명회 방문자 등 부산 코로나19 확진자 7명 늘어"
13,1억명 시청하는 30일 첫 TV토론… ‘트럼프 탈세 vs 바이든 건강’ 격돌
14,"추석 송편, 수수·참깨 넣으면… 어떤 건강 효과가?"
15,"허각·에이핑크·빅톤·위클리 ""건강하고 즐거운 추석 되세요"""
16,"CJ제일제당, 추석 앞두고 취약계층 아동 건강 챙기기"
17,"휴온스, 전립선 건강개선 기능성 소재 日 특허 취득"
18,"박지훈-지수-김요한, 따뜻한 추석인사 “건강과 행복 기원”"
19,[뷰엔] 부모님께 보낸 건강기능식품... 혹시 그냥 '식품' 아닌가요?
20,"LG생활건강, 닥터그루트 '애딕트' 2종 올리브영 입점"
21,"이만희, 건강상 이유로 재판부에 보석 호소… 내달 첫 정식재판"
22,"경비원 등 교대근무자, 휴식 시간이 '건강 상태' 좌우한다"
23,코로나19 최전선 의료진 '정신건강 적신호'
24,[오늘의 건강] 명절 음식으로 더부룩할 때…소화불량 해소법
25,[2020 올해의 브랜드 대상] 건강 부문
26,코로나19로 줄어든 활동량에 추석 고칼로리 음식까지 건강 적신호
27,목소리 커졌다면 난청 의심…부모님 건강 '언택트' 체크법
28,추석 연휴 기름진 음식에 술까지…'간 건강 주의보'
29,"'상온 노출' 백신 접종 407명…""건강상태 확인 중"""
30,"쇳조각 삼킨 남수단 어린이, 건강 찾고 고국으로…""한국에 감사"""
31,"개그우먼 김효진, 오늘(29일) 둘째 득녀…""산모와 아기 모두 건강"" [전문]"
32,'출생신고 이전' 미혼부 자녀에게도 건강보험 적용
33,"[SC시선]'건강한 류현진' 카드는 최후의 보루, 토론토 선택은 최선이었다"
34,"알칸타라, 아스널전 후 코로나19 양성 반응… 건강 회복 중"
35,"한국에자이, 뇌건강 지킴이 ‘새미’ 추석 런칭"
36,다음달부터 감기 환자 대형병원서 진료하면 건강보험 혜택 못받아
37,'가정의 건강을 기원하며'
38,고향 못가지만 부모님 건강 챙기는 보험 선물은 보냅니다
39,"농진청, 맛과 건강잡은 '잡곡 송편' 레시피 소개"
40,이용호 의원 “코로나 완치 후 건강 상태 추적 관리 필요”
41,"건강보험 인천경기본부, 추석맞이 소외계층에 명절음식 전달"
42,"CJ제일제당, 추석 앞두고 취약계층 아동 건강검진 지원"
43,"정신건강 위협하는 '코로나 블루'…""헬스케어로 대응해야"""
44,"""사우나는 괜찮아"" 코로나19 불감증...가족 건강 위협 '우려'"
45,"한국에자이, 뇌건강 지킴이 챗봇 새미 정식 서비스"
46,"풀무원건강생활, 손소독 안심티슈·안심겔 출시"
47,"질병청 ""'상온 노출' 의심 백신 접종자들 건강 매일 확인 중"""
48,"[단독]고아라, 추석 인사..""코로나 때문에 건강 생각하게 되는 연휴"""
49,"건강보험심사평가원, 국립암센터와 협약"
50,"임이자 의원 ""슬레이트 처리사업 확대로 국민 건강 지켜야"""
51,귀로 알아보는 전신건강…귀 집압법만으로 통증 해결(나는 몸신이다)
52,"왓챠, 추석 3일 무료 이벤트 ""건강하고 안전한 연휴"""
53,"국민건강보험 일산병원, 스마트병원 선도모델 만든다"
54,"부모님 치아건강, 전체임플란트로 씹는 힘 개선 가능하다"
55,"충남교육청, ‘건강걷기 365’ 추진"
56,"건강보험공단, 하반기 개방형직위·전문인력 39명 채용"
57,"문정원♥이휘재 ""건강한 추석 되세요""…'아내의맛' 동반 출연"
58,"추석 연휴 반려견 건강, 반려인의 세심한 배려가 필요해"
59,"권민아, AOA 지민 괴롭힘 폭로→소속사 계약 해지…건강한 근황 공개 [★SHOT!]"
60,"신안군, 건강한 명절 보내기 캠페인 전개"
61,"'신민아♥' 김우빈, 건강하고 잘생긴 미소 '완쾌 후 훈훈해진 근황'"
62,"[오늘의 건강] 추석 연휴, 마스크 착용 시 주의할 점은?"
63,"전기안전공사, 추석 앞두고 독거노인 가구에 건강 우유 전달"
64,"[인터뷰①]김일중 ""추석 소원? 첫째도 둘째도 건강이죠"""
65,"""비대면 추석으로 가족건강을"" 송기섭 진천군수 길거리 인사"
66,"LG생활건강, '후 비첩 연향세트' 선봬"
67,"CJ올리브영, 미혼한부모의 건강한 아름다움 위한 ‘기프트 박스’ 1천개 전달"
68,"이만희 신천지 총회장, 법정서 보석 허가 호소 ""건강 악화"""
69,"코로나시대 추석 명절, 건강하게 지키려면"
70,"건강·장수 상징 '인삼 문화', 무형문화재 된다"
71,"보훈병원, 유공자 건강 위해 추석연휴 응급실 정상 운영"
72,"이베이코리아, 추석 매출 역대 최대…'건강제품' 주도"
73,남현희·나다·다혜 “안전해지는 날까지 건강하고 행복하게 명절 지내시길”
74,"코로나19가 바꾼 명절 풍경, 연휴 내 건강관리는 ‘이렇게’"
75,"명절음식, 사람과 반려견 위한 '건강' 제안"
76,"[Daily New뷰티] 네이처리퍼블릭, 아모레퍼시픽, LG생활건강"
77,추석연휴 '음식·운동·위생' 3가지 건강관리 비결
78,[건강설계]눈 황반변성 예방 건강수칙
79,"전기안전公, 추석 앞두고 독거노인 가구 건강우유 전달"
80,"테라피션, 환절기 건강한 두피케어 위한 '전 품목 1+1 이벤트 진행'"
81,"DGIST, 달성군보건소와 건강·보건분야 협력 나서"
82,"청송군, 현서 건강마을 빨래방 운영"
83,"""송편도 면역력 좋게...건강한 추석 되세요"""
84,"""코로나 시대 건강한 명절, 성평등 명절 이렇게 보내요"""
85,경증환자 상급종합병원 이용 건강보험 부담금 19조↑
86,추석 ‘집콕’ 호소한 정총리 “거리두기로 어르신 건강 지켜달라”
87,‘암행어사’ 김명수 추석 인사 “따뜻한 마음 나누며 힘내고 건강하길”
88,"멘탈헬스코리아, 정신건강의 ‘사회적 처방’으로 촘촘한 사회적 지지망 구축"
89,"CPACS, 건강박람회 연다"
90,"성인 2명 중 1명 ""추석선물 비대면으로""… 현금·건강식품이 '대세'"
91,"부산, '코로나19' 6명 감염...목욕탕, 건강용품 설명회 참석"
92,"[건강설계]급격한 체중 증가, 발 피로 누적시켜"
93,"FCV 방식으로 생산된 (주)오지아이 생활건강 식용 아르간오일, 이벤트 진행중"
94,"[오늘의날씨] 전국 천둥.번개 동반 비...""큰 일교차 건강유의"""
95,"노무법인 명문, 건설업 건강보험 사업장지도점검 대비 서비스"
96,"코로나19에 건강챙긴 중국, 건강식품 매출 급증"
97,"‘라디오스타’ 성동일 “김희원, 건강 관리 많이 해…식당보다 병원 자주 간다”"
98,"김소현, 어느덧 22살…""추석 연휴 건강하고 안전하게 보내세요"" [★SHOT!]"
99,"아베 ""건강 회복중…의원 한명으로서 스가 정권 떠받치겠다"""
100,"CJ제일제당, 추석 앞두고 취약계층 아동 건강검진 지원"
101,"정신건강 위협하는 '코로나 블루'…""헬스케어로 대응해야"""
102,"휴온스 '전립선 건강개선기능성 소재', 일본 특허 취득"
103,"""사우나는 괜찮아"" 코로나19 불감증...가족 건강 위협 '우려'"
104,"한국에자이, 뇌건강 지킴이 챗봇 새미 정식 서비스"
105,"풀무원건강생활, 손소독 안심티슈·안심겔 출시"
106,올 추석엔 건강한 맛 '잡곡 송편' 드세요
107,"질병청 ""'상온 노출' 의심 백신 접종자들 건강 매일 확인 중"""
108,"[단독]고아라, 추석 인사..""코로나 때문에 건강 생각하게 되는 연휴"""
109,"건강보험심사평가원, 국립암센터와 협약"
110,"임이자 의원 ""슬레이트 처리사업 확대로 국민 건강 지켜야"""
111,"휴온스, 사군자 추출 전립선 건강개선 기능성 소재로 일본 특허 따내"
112,귀로 알아보는 전신건강…귀 집압법만으로 통증 해결(나는 몸신이다)
113,"하루 한 잔 술은 건강에 좋다고요?…""아닙니다"""
114,"왓챠, 추석 3일 무료 이벤트 ""건강하고 안전한 연휴"""
115,"국민건강보험 일산병원, 스마트병원 선도모델 만든다"
