,title
0,"[종합] 정세균 ""공수처, 검·경수사권 조정..특권 없는 공정사회 디딤돌"""
1,"정세균 ""공수처 설치와 검경수사권 조정은 공정사회로 가는 디딤돌"""
2,"의왕시, 사회보장급여 탈락자 '한번 더 조사'추진"
3,"NHN, 광명종합사회복지관에 4억 상당 생리대 기부"
4,'천안' 단독 보도가 일으킨 갈등... 사회의 흉기가 된 언론
5,"文대통령 ""신종 코로나, 지역사회 감염 우려…비상한 내각대응 필요"""
6,"울산시, 장애인 사회활동 지원…올해 1천133억원 투입"
7,GKL사회공헌재단 이사장에 나종민 전 문체부 차관 선임
8,“우리는 서로의 사회안전망”…‘우리가 아산이다’ 운동 확산
9,"[Q&A] 우한폐렴 방역망 왜 뚫렸나... ""지역 사회 감염 전파 시작"""
10,"정세균 총리 ""공수처·검경수사권 조정, 특권 없는 공정사회 디딤돌"""
11,"의왕시, 사회보장급여 탈락자 '한번 더 조사'추진"
12,"NHN, 광명종합사회복지관에 4억 상당 생리대 기부"
13,[제주소식] 지역사회서비스 투자사업 이용자 신청 접수
14,"6번째 확진자, 어린이집 교사 딸 부부와 접촉…지역사회 초비상"
15,일본영사관 기습시위 대학생 기소에 시민사회 반발
16,"KCC, 신종 코로나바이러스 예방-지역 사회와 손 잡았다"
17,'우한폐렴' 2차·3차 감염까지…지역사회 전파 우려 커져
18,"GKL사회공헌재단, 이사장에 나종민 동국대 교수 선임"
19,'천안' 단독 보도가 일으킨 갈등... 사회의 흉기가 된 언론
20,"정 총리, '목요대화' 준비…사회적 대화 전문가와 간담회"
21,신종코로나 국내 첫 2차 감염 발생…지역사회 전파 우려 증가
22,"'신종코로나' 3차 감염 추정까지 나왔다…""지역사회 전파 아냐"""
23,"8번째 확진자, 원광대병원에…지역사회 '초긴장'"
24,"[일문일답]질본 ""아직 지역사회 광범위한 전파 없어…경계 수준 유지"""
25,'일상 접촉자'였던 6번째 확진자…지역사회 전파 우려
26,"김희찬, 오늘(30일) 입소…사회복무요원 대체복무"
27,"광주은행 신입행원 42명, 연수 수료식 갖고 사회 첫발"
28,"'버닝썬 게이트' MBC 인권사회팀, 한국방송기자대상 수상"
29,3번→6번→6번 가족으로 연쇄전파된 신종코로나…지역사회 패닉
