"","title"
"0","서울시 ""사회적 거리두기 2단계 격상으로 대중교통 이용 급감"""
"1","""사회적 거리두기 2단계 연장 적절 60%"""
"2","""교회, 사회에 씻을 수 없는 죄""…개신교 단체 사죄성명"
"3","정은경 “사회적 거리두기, 짧고 굵게 마쳐야 피해 최소화”"
"4","인도네시아 의사 100명 코로나 사망…한인사회 확진자도 추가"
"5","배달의민족, 사회적 거리두기 대응책 마련…'포장주문' 강화"
"6","사회적 거리두기 2.5단계‥ 3N 전사 재택근무 '돌입'"
"7","부산시 ""사회적 거리두기 2단계 9월6일까지 연장"""
"8","사회적 거리두기 2.5단계에 '수도권 편의점 야간 취식 금지'"
"9","코로나19 사회적 거리두기 강화에 은행 영업시간 1시간 단축"
"10","'수소 사회' 전환 가속화…세종청사 수소충전소 첫 준공"
"11","안철수, 공공의대 설립 두고 ""文정권, 공정사회의 적"""
"12","광주·부산, 곳곳 막무가내 대면예배…""공산사회냐"""
"13","부산시 ""사회적 거리두기 2단계 9월6일까지 연장"""
"14","“수도권 사회적 거리두기 2.5단계, 방역망 통제력 확인돼야 완화”"
"15","인도네시아 의사 100명 코로나 사망…한인사회 확진자도 추가"
"16","배달의민족, 사회적 거리두기 대응책 마련…'포장주문' 강화"
"17","사회적기업진흥원, 성남시 공공기관 협의회 출범"
"18","폴킴 집돌이 챌린지 개최, 사회적 거리두기 독려"
"19","코로나19 사회적 거리두기 강화에 은행 영업시간 1시간 단축"
"20","광주·전남서 밤사이 확진자 4명…모두 지역사회 감염"
"21","롯데백화점·마트, 사회적 거리두기 2.5 맞춘 방역 강화"
"22","[동정]유은혜 사회부총리 겸 교육부 장관"
"23","사회적 거리두기 2.5단계 시행, 백화점·마트 영업 어떻게 제한되나"
"24","미스코리아 8인, 대한사회복지회 홍보대사 위촉"
"25","GS25, 사회적 거리두기 2.5 동참…밤 9시 이후 파라솔 운영 금지"
"26","문대통령 ""사회적 거리두기 강화 이유는 불안요인 잠복 때문"""
"27","부산 사회적 거리두기 2단계 1주일 더 연장…다음 달 6일까지"
"28","한국사회보장정보원, 경영평가성과급 24% 지역상품권 지급"
"29","삼성 준법위, 9월 정기회의 취소… ""사회적 거리두기 동참"""
"30","부산 42개 교회 대면예배 강행 … “우리가 공산사회인가”"
"31","구리시 공정무역 지역사회 정착 올인"
"32","전주시 사회적 거리두리 2단계 모범 사례 부상"
"33","최태원式 사회적가치 축제 SOVAC 1일 개막"
"34","""지역사회 어려움 함께""…콘진원 성과급 일부 온누리상품권으로"
"35","""고강도 사회적 거리두기는?""… 교회 23곳 집합금지명령 거부 대면예배"
"36","코로나19에 지쳐가는 사회...""마음 방역에 정보 방역도 중요"""
"37","사랑제일교회 무증상자 비율 55.5%…""빠른 검사로 지역사회 확산 막아야"""
"38","경북도 사회적경제기업,‘데이터바우처 지원사업’9개사 선정"
"39","한국솔가, 사회공헌 플랫폼 '행복얼라이언스'와 업무협약"
"40","조국은 왜 '조선일보' 편집국장·사회부장까지 형사고소했을까"
"41","여기어때-홀트아동복지회, '위기아동 지원' 사회공헌 협약"
"42","KFC, 사회적 거리두기 2.5단계 따라 매장 방역 강화"
"43","안철수 ""文정권, 공정사회 적…공공의대, 돌팔이 판 칠 것"""
"44","사회적경제 창업 기업, 펀딩으로 응원하자"
"45","10월 진도문화예술제·아리랑축제 취소…""사회적거리두기 동참"""
"46","중앙대, 한국사회과학연구지원사업 중형단계 선정"
"47","[119기고]청렴, 사회발전의 기본"
"48","광주 208개 시민·사회단체 방역지침 준수 호소…""연대로 극복"""
"49","한범덕 청주시장 ""강화된 사회적 거리두기 협조 부탁"""
"50","장수군 공무원, 사회적 거리두기 캠페인"
"51","‘2020 서울안보대화’ 9월1~3일 개최···국제사회 안보현안 논의"
"52","차별을 두둔하는 사회는 금지되어야 한다"
"53","사회적가치 민간축제 'SOVAC 2020', 다음 달 1일 개막"
"54","양천구, 사회적 거리두기 2.5단계 적극 대처"
"55","인천공항공사 '인천공항 가치점프' 사회공헌활동 진행"
"56","기장군, 지역사회 내 감염확진자 발생…집중 방역 실시"
"57","국회 셧다운 해제…사회적 거리두기 속 정기국회 돌입"
"58","계룡시, 어린이급식관리지원계룡시 종합사회복지관 MOU 체결"
"59","""노동중심 사회로"" … 민주노총 경남, 하반기 투쟁 선포"
"60","예천군 김학동 군수·공무원들, 출근길 사회적 거리두기 캠페인 전개"
"61","광주복지재단, 사회복지시설 운영 매뉴얼 제작"
"62","신협사회공헌재단, 집중호우 피해 지역에 금융지원 및 지원금 전달"
"63","원주시, 코로나19 여파 2020년 사회조사 잠정 연기"
"64","사회적 거리두기 2.5단계 '커피 포장 주문하는 시민들'"
"65","가평 원흥리 ‘행복마을관리소’ 지역사회 공헌 나서"
"66","한밭대, 소제동 도시재생 지역사회공헌 프로그램 시동"
"67","오늘부터 '사회적 거리두기' 2.5단계 시행…식당·주점 등 오후9시부터 포장·배달만"
"68","한국 산림녹화 성과·산림정책 국제사회에 소개한다"
"69","'롤 전설' 페이커에게 사회적 가치란? SOVAC 앞두고 참여 독려"
"70","경주시, 사회적 거리두기 2단계···결혼식장 책임관리자 간담회"
"71","[기장군] ""지역사회 내 감염확진자 1명 발생"" 外"
"72","무안군, '무안형 뉴딜사업' 46건 확정, 사회 안전망 확충"
"73","안성시 사회적 거리두기 다중아용시설 집중 점검"
"74","일하는 공직사회 만들기 감사원 징계요구 소송 가능해진다"
"75","광주 동구·서구, 사회보장 특별지원구역 선정"
"76","경기도의회, ‘사회적 거리두기 2.5단계 형 임시회’ 실시"
"77","청년팔이 사회 - 김선기 [이한솔의 내 인생의 책 ②]"
"78","'사회적 거리두기 꼭 지켜주세요'"
"79","민주노총 등 노동-시민사회 단체, 전태일 3법 촉구"
"80","사회적 거리두기 '커피전문점 좌석 이용 불가'"
"81","부산 강화된 사회적 거리두기 2단계 ‘1주 더’"
"82","[거제는 지금] 3단계 준하는 사회적 거리두기 강화"
"83","文대통령 ""사회적 거리 강화 이유는 불안요인 잠복 때문"""
"84","민형배 ""갑질피해 신고센터 운영…사회적약자 희생강요 방지"""
"85","정부 ""사회적 거리두기 2.5단계…배수진 쳐 위기 극복하자"""
"86","'사회적 거리두기' 2.5단계…신규 확진자 수 300명대 초반 기록"
"87","김정섭 공주시장, '사회적거리2.5, 비상경제대책' 재점검"
"88","부산시 “사회적 거리 두기 2단계 조치 다음 달 6일까지 연장”"
"89","'사회적 거리두기 2.5단계의 기준은?'"
