,title
0,"장제원 아들 '노엘', 지난해 말 사회복무요원 판정"
1,"포스코1%나눔재단, 지역사회 장애인 맞춤형 편의성 높인다"
2,"한국야쿠르트, 윤호중 회장 취임...""사회적 책임 다할 것"""
3,"동서발전, 사회적가치 2020 종합계획 수립"
4,김영란 “n번방 사회적 공분 반영한 새 양형기준 필요”
5,2019년도 사회복지시설 1285곳 평가 발표
6,"4번째 개학연기에 ""사회적거리두기 실패"" 논쟁"
7,"美플로리다주, 사회적 거리두기 무시 예배강행 목사 체포"
8,"""사회적 거리두기 지쳤다…이젠 생활방역 지침 구체화해야"""
9,"[단독] 조주빈 도운 사회복무요원, 대학 생활도 '두 얼굴'…봉사활동에 학생대표까지"
10,소방관의 '사회적 거리두기' 식사
11,1440명이 화장실 1개 사용…인도 빈민 ‘사회적 거리두기’도 어렵네
12,"""미국 '사회적 거리두기' 경제 편익 9천650조원"""
13,"트럼프, 코로나19에 굴복‥""사회적 거리두기 한달 연장""(종합)"
14,부산 실내 체육시설 67% '사회적 거리두기' 동참
15,"이마트24, 소방공무원 가족 돕는 '사회공헌형 편의점' 늘린다"
16,"NIA, 디지털 사회혁신 생태계 조성 프로젝트 공모"
17,2019년도 사회복지시설 1285곳 평가 발표
18,"한국야쿠르트 2세 윤호중 신임 회장 취임… ""사회적 책임 다할 것"""
19,"동서발전, '사회적가치 2020' 종합계획 수립"
20,"""강화된 '사회적 거리두기' 일정수준 효과…느슨해지면 재확산""(종합2보)"
21,김종인 “공정사회 약속 지켰나”…조국 언급하며 정부 맹비난
22,올해 공공부문 사회적경제기업 등에 4275억원 공급
23,사회적 합의기구 만들어 '생활방역 체계' 전환 논의
24,"예스24-돌베개, 전자책 무료 대여로 '사회적 거리두기'"
25,코로나 19 대응 관련 종교 시민사회단체 기자회견
26,"美 사회적 거리두기 4월 말까지…""2주 내 치명률 정점"""
27,"""사회적 거리두기에 힘든 올해…집에서 즐기는 식목일로"""
28,베트남 코로나19 전국적 유행 선언…15일간 사회적 거리두기
29,濠·홍콩 ‘사회적 거리두기’ 위반 땐 엄벌
30,"전북도, 예비사회적기업 10곳 지정"
31,"LH, 포용적 사회를 위한 ‘공공임대주택 유형통합 시범단지’ 공모"
32,마스크 구매 5부제가 사회주의라고?
33,"완도군, 관내 유흥주점 사회적 거리두기 동참"
34,"""함께 해 온 지역사회에 도움되고 싶다""… 팔 걷은 골프장들"
35,"트럼프 '사회적 거리두기' 한 달 연장...""2주 뒤 사망자 정점 예상"""
36,"[일문일답]교육부 ""4월9일 온라인 개학, 사회적 거리두기 실패 아냐"""
37,전주시 소상공인 공공요금·사회보험료 특별지원
38,"논산시, 코로나19 차단 '고강도 사회적 거리두기' 점검"
39,"충주시 민원실, '사회적 거리두기' 실천"
40,"[현장연결] 중대본 ""사회적 합의기구 구성…생활방역체계 전환"""
41,"익산시, 관광·운수업계·사회적기업 긴급지원"
42,주한미군기지 노동자 무급휴가에 노동·사회단체 반발
43,배제가 익숙한 사회에 ‘다양성의 빛깔’을 보여줘
44,"연기협, 대전시사회복지공동모금회에 코로나 극복 성금"
45,"건보료 하위 40%도 석달간 30% 감면, ""사회보험료·전기료 대대적 완화"""
46,무안군 ‘사회적 거리두기’ 동참 무안읍 5일장 휴장
47,"홍성군, 여성 사회 안전망 촘촘히 구축한다!"
48,"[현장영상] ""강화된 사회적 거리두기에 적극 참여해달라"""
49,화성지역사회 50가구에 '긴급먹거리'
50,"교육부 ""사회적 거리두기 실패해서 온라인 개학하는 것 아냐"""
51,[정동칼럼]한국 사회의 대외 인정결핍증
52,"""안방까지 침입""...사회복무요원 '정보 취급금지' 청원도"
53,단상 향하는 유은혜 사회부총리 겸 교육부 장관
54,손팻말 든 시민사회단체
55,사회적 거리두기로 진행하는 기자회견
56,공주시 코로나19 사회적거리두기 가두캠페인
57,"북한, 남한 'n번방' 사건 첫 반응…""타락 일상화된 사회"""
58,"코로나, 낙인찍기의 정치사회학"
59,“이용호 후보는 사회적 거리 운운할 자격이 없다”
60,"정선 시민사회단체, 총선 후보들에 지역현안 제시요구 공개서한"
61,"광명시, 매주 금요일 '사회적기업 도시락 DAY' 실시"
62,기자회견하는 시민사회단체
