"","title"
"0","광주시, 사회적 거리두기 2단계 2주간 연장"
"1","최태원-최정우 1년만에 만났다…'기업시민·사회적 가치' 맞손"
"2","이재명 ""대북 전단 금지법은 평화 수단""…국제사회에 서한"
"3","이재명 “대북전단금지법, 한반도 평화 위해 필요”… 국제사회 지지 호소"
"4","대구시, 사회적 거리두기 또 2주 연기"
"5","'사회적 거리두기 2.5단계' 설 연휴까지 2주 연장한다"
"6","대전시, 사회적 거리두기 2단계 2주간 연장 시행"
"7","정부, 사회적 거리두기 설연휴까지 2주 연장"
"8","'13세 미만 아동 성범죄자 최장 20년 사회격리'"
"9","제주 사회적 거리두기 설 연휴까지 2주 더 연장"
"10","정부, 사회적 거리두기 설연휴까지 2주 연장"
"11","정부 ""사회적 거리두기 단계 1주일 뒤 재검토"""
"12","'13세 미만 아동 성범죄자 최장 20년 사회격리'"
"13","계룡건설, 충남사회복지공동모금회에 3000만원 기탁"
"14","이춘희 세종시장, 사회통합부문 대상 수상"
"15","제주 사회적 거리두기 설 연휴까지 2주 더 연장"
"16","전북도, 사회적 거리두기 2단계 2주 연장…합동점검 강화"
"17","""나이 찼다고 나가라고요?""...열여덟에 사회로 떠밀리는 아이들"
"18","포스코 '기업시민'- SK '사회적 가치' 통했다"
"19","NIA, 한국지능정보사회진흥원으로 새 출발…“국가 디지털 대전환 선도”"
"20","대구·경북행정통합, 산업경제·사회복지의료분야 통합이 우선"
"21","부산시 '사회적 거리두기 2단계' 내달 14일까지 연장"
"22","오늘 신규확진 355명...사회적 거리두기 조정안 현 단계 유지가능성 높아"
"23","정부, 사회적 거리두기 조정안 31일 중대본 브리핑에서 발표"
"24","'사회적 거리두기 조정되나?'"
"25","제주형 사회적 거리두기 2단계 2주간 ‘또’ 연장"
"26","확진 임산부 아기 출산…전북 사회적 거리두기 연장"
"27","완주군, 사회복지사업 주민 신뢰도·만족도 모두 높아"
"28","경기주택도시公, 사회주택 시범사업 추가 공모"
"29","[천자춘추] 초고령사회의 과제"
"30","조치원지역사회보장협의체, 기부챌린지 성료"
"31","경북도,‘2021년 제1차 경북도 사회적경제 정책간담회’열어"
"32","서구, 노인 사회활동지원사업 등 실시"
"33","이문열 소설가 만난 나경원 전 국민의힘 의원…""우리 사회가 단단히 잘못됐다"""
"34","청양군 사회적경제기업 컨설팅"
"35","광주시 ‘사회적 거리두기’ 2단계 설 연휴까지 연장"
"36","낙관하기 이른 '한국형 수소사회'"
"37","자료 보는 유은혜 사회부총리"
"38","정부, 일본의 군함도 세계유산 약속파기, 국제사회에 고발"
"39","[그래픽] 사회적 거리두기 2단계 - 2.5단계 조치 내용"
"40","사회적 거리두기 범위 설 연휴 이후 재논의"
"41","정부, ""사회적 거리두기 현 단계...설 연휴 까지 2주 연장"""
"42","정부, 사회적 거리두기 2주 연장...'5인 이상 집합금지' 유지"
"43","이재명의 조용한 남진정책… 5·18묘역서는 ""사회적 어머니 광주"""
"44","[이슈&경제] '1·2인 가구' 사회를 위한 주택정책"
"45","충북도, 사회적 거리두기 2단계 연장 방안 발표"
"46","文대통령 ""우리사회 투명성·청렴성 국제평가 크게 높아져"""
"47","서산시 종합사회복지관, '2021년도 프로그램' 개강"
"48","울산시, 사회적거리두기 2월 14일까지 2주간 연장"
"49","[코로나19] 사회적 거리두기 2.5단계 2주 연장… 설 연휴까지"
"50","사회적 거리두기 조정안 31일 발표…확진자 증가로 늦춰"
"51","文의 꽃 정치… 박범계에 준 꽃의 의미 ""정의사회 구현 완결"""
"52","롯데건설 사랑의 라면 나눔 사회공헌 활동 진행"
"53","중진공 창립 42주년 맞아···""지역사회 및 디지털 혁신 추진"""
"54","택배 사회적 합의기구 잠정합의안 도출…29일 파업 철회하나"
"55","정부, '사회적 거리두기' 조정안 내일 아닌 주말에 발표"
"56","정부, 오늘 사회적 거리두기 단계 변경 여부 발표"
"57","설연휴 예외없다…수도권 사회적 거리두기 2.5단계 2주 연장"
"58","순천시,정부지침에 따라 사회적 거리두기 2단계 연장"
"59","사회적 거리두기 무색한 시장"
"60","노부모·자녀 ‘이중 부양’에 급급… 노후 준비 시기 놓쳐 ‘우울’ [연중기획-피로사회 리포트]"
"61","사회적 거리두기 2.5단계 '설 연휴까지 연장'…자영업자들 또 실망"
"62","경기도농수산진흥원, '제1회 농촌기본소득 정책포럼' 개최…사회실험 의미 전파"
"63","사회적 거리두기 단계 2주 연장...설 연휴 까지"
"64","대구대, 9년 연속 사회적기업가 육성사업에 선정"
"65","'현행 사회적 거리두기' 14일까지 2주 연장"
"66","전남도, '사회혁신' 공모…지역문제 해법 찾는다"
"67","재일 민족학교 고시엔 진출 쾌거…동포 사회 새 역사"
"68","주말 대면 종교활동…사회적 거리두기 지켜야죠"
"69","방역당국 ""사회적 이동량 지표 2주 연속 증가하고 있는 점이 또 하나 우려되는 부분"""
"70","LX, 전북 사회적 경제기업과 설명절 ON/OFF동시 직거래 장터 운영"
"71","고위직 자녀 ‘엄빠 찬스’로 학교·취업 특혜… 사회 증오 키운다 [연중기획-끊어진 계층이동 사다리]"
"72","해운대구 '신중년 사회공헌 일자리사업' 시행"
"73","사회적 거리두기, 2주간 현행 단계 유지…설 연휴도 5인 이상 사적모임 금지"
"74","사회적 거리 두기 현행대로 2주 간 연장"
"75","인천 남동농협, 남동구 지역사회에 쌀 300포 선물"
"76","충주 봉방동지역사회보장협, 꿈끼쟁이 찾아나선다"
"77","사회적거리두기 2주 연장에도 종교단체 별도 조치 없어"
"78","[전남소식] 사회혁신 사업 공모…지역문제 해법 모색"
"79","한국마사회, ‘2020 농촌사회공헌 인증기업’ 재선정"
"80","택배노조 ""택배사가 사회적 합의 뒤집어""…29일 총파업 돌입"
"81","김성진 제20대 토질및기초기술사회 회장 취임"
"82","청주중앙공원 사회적 거리두기 합동단속"
"83","신안군, 간호사·사회복지사 최일선 읍면사무소 전면 배치"
"84","포항시 흥해읍 지역사회보장협의체, 코로나 선별진료소 ‘무료콜 차량봉사단’ 운영"
"85","[포토뉴스] '사회적 거리두기에 지쳤나'"
"86","박영선 “김동연은 文정부 사람, 사회 혁신 고민中”"
"87","이스라엘, 국제사회 비판속 팔레스타인에 백신 제공하기로"
"88","""나의 사회적 어머니 광주""…이재명, 5·18민주묘지 홀로 참배"
"89","택배노조, 사회적합의안 추인"
"90","호텔이 지역사회 미술갤러리로…부산롯데 ‘3인’展"
"91","GH, 경기도형 사회주택 시범사업 2차 공모"
"92","청양군, 통합돌봄사업·사회적 농업 연계"
"93","대전시사회서비스원, 2021년 민관협력 네트워크 활성화 사업 온라인 설명회 개최"
"94","경기도사회서비스원, 창립 1주년 맞아 기념식과 사회공헌활동 진행"
"95","사회복지업무 담당자 대상 포항시, 개정 복지제도 교육"
"96","한국에너지공단, 2020 감사대상서 ʻ사회적 가치실현기관 대상ʼ 수상"
"97","홍성군, 사회적경제기업 디지털일자리 지원"
"98","R]사회적 거리두기 2주 연장"
"99","남양유업 경주공장, 지역사회 '이웃사랑' 활동 펼쳐"
"100","최정우-최태원, 봉사활동 나서…포스코 ‘기업시민’-SK ‘사회적 가치’ 맞손"
"101","정부, 사회적 거리두기 2.5단계 2주 연장"
"102","""세계 평화 위해 '대북전단금지법' 국제사회 지지 절실"""
"103","청양군 사회적경제기업 컨설팅"
"104","NIA, 한국지능정보사회진흥원으로 새출발…""국가 디지털 대전환 선도"""
"105","전북, 설 연휴까지 사회적 거리두기 2단계, 5인 이상 사적모임 금지"
"106","광주시 ‘사회적 거리두기’ 2단계 설 연휴까지 연장"
"107","낙관하기 이른 '한국형 수소사회'"
"108","자료 보는 유은혜 사회부총리"
"109","정부, 일본의 군함도 세계유산 약속파기, 국제사회에 고발"
"110","이재명 “대북전단금지법은 국민생명 보호장치’” 국제사회에 서한문"
"111","정부, 일본의 군함도 세계유산 약속파기, 국제사회에 고발"
"112","GH, 경기도형 사회주택 시범사업 2차 공모 실시"
"113","[그래픽] 사회적 거리두기 2단계 - 2.5단계 조치 내용"
"114","정부, 사회적 거리두기 2.5단계 설 연휴까지 2주 연장"
"115","사회적 거리두기 범위 설 연휴 이후 재논의"
"116","청양군, 사회적경제기업 컨설팅 신청자 접수"
"117","정부, ""사회적 거리두기 현 단계...설 연휴 까지 2주 연장"""
"118","사회적 거리두기 조정안 31일 중대본 브리핑서 발표"
"119","정부, 사회적 거리두기 2주 연장...'5인 이상 집합금지' 유지"
"120","정부, 사회적 거리두기 2주 연장...'5인 이상 집합금지' 유지"
"121","제1차 경북도 사회적경제 정책간담회 열려"
"122","계룡건설, 충남 사회복지공동모금회에 이웃돕기 성금 3천만 원 기탁"
"123","부산시, 사회적 거리두기 2단계 2월 14일까지 연장"
